"image-wrapper href","ls-is-cached src","product-discount","d-flex href 2","col-12","col-12 href","col-12 2","product-price-not-discounted","product-price","w-100 href","d-none","lazyload src","lazyloaded src","out-of-stock"
"https://www.cnc-marketi.com/urun/iso30-magazin-takim-tutucu-catal-arel-hertz-hsd-gdz-uyumlu","","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/763/9502a8e4685bfd45a37f2c2c7dc47c7076d2d388f31e4e6d0db742ee06fc3b5cdff7ff20067a31dc5cb8628907e00c23","Takım Tutucu","https://www.cnc-marketi.com/takim-tutucu","İso30 Magazin Takım Tutucu Çatal Arel-Hertz-Hsd-Gdz Uyumlu","378,95","231,16","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/lpt-kablosu-5-eksen-cnc-kontrol-karti-uyumlu","","8","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/853/7ec69ab091ad483687327d511635ce3fbecaa3c1a938aac96aee630d5926473021918481fb42eb3bc15d2d0c43b256a1","Knife Handle High Speed Tool","https://www.cnc-marketi.com/knife-handle-high-speed-tool","Lpt Kablosu 5 Eksen CNC Kontrol Kartı Uyumlu","507,51","466,56","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/npn-12-36-volt-isikli-sensor-12mm-sensor","","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1071/45dd5bd95539e35941c968ad73256d1b0b395155cacb9585bd1856047a3d386f4ff5e2e2b9d187ecfd6246913f4895f7","Endüktif Sensör","https://www.cnc-marketi.com/enduktif-sensor","Npn 12~36 Volt Işıklı Sensör 12Mm Sensör","167,44","102,14","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/otomatik-yaglama-sistemi-2lt","","36","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1095/b0b780c9d05e2cb4037a70aaf0e1fe12f98abc386435d66d3fd7c91e4d648181ac04cbe83c5cb61ad99773c498cd6bb8","Kızak Yağlama","https://www.cnc-marketi.com/kizak-yaglama","Otomatik Yağlama Sistemi (2Lt)","5.072,54","3.235,59","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/pnp-12-36-volt-isikli-sensor-12mm-sensor","","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1113/740879e80c775e5827ea2834ce76e8febc7880888feffc1c84e5d703ec7e7a099155606c0f79dce0730ba7512a645a6d","Endüktif Sensör","https://www.cnc-marketi.com/enduktif-sensor","Pnp 12~36 Volt Işıklı Sensör 12Mm Sensör","167,44","102,14","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/er25-ay-anahtari","","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1512/500b52069a31eb3e7a30c3de319c18bb84e53b4cccd14fbc21963750ff99045339cf532935b10d77ec8717c8d267713f","","","Er25 Ay Anahtarı Lazer Kesimli","777,60","474,34","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/nema-23-1-5-nm-step-motor","","49","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1211/990e178248b67d609e837d1b599cd6286831a6a870a2354b0f8679d49d169738601dce9ba334c8708c336227bb042302","Jss","https://www.cnc-marketi.com/jss","Step Motor Nema 23 1.5 Nm","1.347,84","686,68","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/urun-2-2-nm-step-motor-nema-23-57hs22","","53","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1212/a0c4daebb0b3c79c62b4d10f9b9f17770928ff753e88ff901839de7fb8aed9ae4c890887aa75d46634b1a6a0e306b405","Jss","https://www.cnc-marketi.com/jss","Step Motor Nema 23 2.2 Nm","1.503,36","710,29","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/0-75-kw-220v-motor-surucu-inverter","","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/11/7ed601da7e598d5791a4499e17925ca68daa9fffbbd838f9b0e07dcf4dccd13882489cb8467d996dcb92b3af09e0a6b4","RBCA","https://www.cnc-marketi.com/rbca","0,75 Kw 220v Motor Sürücü İnverter","6.106,75","3.725,95","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/nema-24-3-0-nm-step-motor","","49","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1213/302d636604512b3f2b19073916eb9c87b34a59f7a5746553c9f13de777a576204464e99c0aa6d9119f0686ebe81a0b2b","Jss","https://www.cnc-marketi.com/jss","Step Motor Nema 24 3 Nm","2.125,44","1.081,86","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/0-75-kw-380v-motor-surucu-inverter","","37","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/13/a9032e6b4f228146167a97c0ebb9f9c44cb2a442d5c0e07581678fd7672da096d982b21a1f29c8d4c1924025c60a4e64","RBCA","https://www.cnc-marketi.com/rbca","0,75 Kw 380v Motor Sürücü İnverter","6.107,27","3.842,28","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/urun-4-5-nm-step-motor-nema34-86hs45","","34","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1217/cec051c4ebae9a05e78af5963fdedd2f46fa8f860c523e55ee00c46939b2ed9227096431fb0c7b71d564ab33772a7334","Jss","https://www.cnc-marketi.com/jss","Step Motor Nema 34 4.5 Nm","2.198,02","1.452,40","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/nema-34-5-nm-step-motor","","52","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1218/7aa192c25bedcf59588881aa4be06fc77824f0421eac933dcfd820fba5ffa8bfbc70886b79442011e7611c51e84e9527","Jss","https://www.cnc-marketi.com/jss","Step Motor Nema 34 5 Nm","3.006,72","1.452,40","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/0-37-hiz-kontrol-cihazi-siemens-220","","70","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/14/ebfd8a0c6dbda1f89bffb3208f4736b711a6494ec3c7db6def524afc9f3f9f43c4208d59d10f9fb6e108feb849374bbd","Siemens Hız Kontrol Cihazı","https://www.cnc-marketi.com/siemens-hiz-kontrol-cihazi","0.37 Hız Kontrol Cihazı Siemens 220","15.361,20","4.608,36","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/nema-34-6-5-nm-step-motor","","49","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1219/1fcc630dc3bc414297eb8c03cf646cd9aa1bc212b12d6e7649a84110e9fc546ff602a4a4741c0b98c7b7340698fc15f5","Jss","https://www.cnc-marketi.com/jss","Step Motor Nema 34 6.5 Nm","3.369,60","1.711,06","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/0-55-hiz-kontrol-cihazi-siemens-220","","73","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/15/72466fa8819148ed0acc7afb0437d80ab152c54c1dc4e93f67ba04199742980bc9cd06c5e57ae80ee90ea8ee4a706e12","Siemens Hız Kontrol Cihazı","https://www.cnc-marketi.com/siemens-hiz-kontrol-cihazi","0.55 Hız Kontrol Cihazı Siemens 220","17.271,86","4.663,40","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/nema-34-step-motor-8-5-nm-step-motornema-34-step-motor-8-5-nm-step-motor","","49","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1220/af6d385096e49e09304e07dc29b6a76483a65b106b3ab49ddd2f2d050e9f1429b49367067a0ec6f6ae53c5db328548fb","Jss","https://www.cnc-marketi.com/jss","Step Motor Nema 34 8.5 Nm","3.732,48","1.904,03","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/step-motor-nema-34-step-motor-12nm","","49","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1215/ed526941d46919c9c28557be7053f1dcebb6414ddff21b0c532a858044e1d162bc2bae6f0ed55f5b50f3b85bdd7a1067","Jss","https://www.cnc-marketi.com/jss","Step Motor Nema 34 12 Nm","4.769,28","2.419,30","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/nema-34-12-nm-step-motor","","49","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1216/4ee4a48b2ecbbab7bbe3e181c98b9f62742e6b2a7cf9283430eadac934b52b0be507312196d8873a45288e48a42fed74","Jss","https://www.cnc-marketi.com/jss","Step Motor Nema 34 12 Nm","4.769,28","2.419,30","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/spindle-motor-surucu-0-75-kw-hiz-kontrol-cihazi-inverter-220","","70","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/20/77d2618c27507c0ff258b7eb6067f0b1d336c2952b8566040fa0c0d1190b0def86cbdab9541caa54b3d499a8d39cdc7f","Siemens Hız Kontrol Cihazı","https://www.cnc-marketi.com/siemens-hiz-kontrol-cihazi","0.75 Hız Kontrol Cihazı Siemens 220","18.658,66","5.597,60","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
"https://www.cnc-marketi.com/urun/nema-34-firenli-5-nm-step-motor","","49","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/681/94a34bb07cff494db59d8f20c006418c5edffe269678e08630f777b11a696e58ecacbf1c8530567c25725c5ff2e5945f","Jss","https://www.cnc-marketi.com/jss","Frenli Step Motor Nema 34 5 Nm","6.428,16","3.252,76","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/Data/EditorFiles/mermak-cnc.jpg","",""
