"image-wrapper href","ls-is-cached src","discounted-badge","product-discount","d-flex href 2","col-12","col-12 href","col-12 2","mr-1","product-price-not-discounted","product-price","w-100 href","d-none","lazyloaded src","out-of-stock"
"https://www.cnc-marketi.com/urun/pabuc-baglanti-parcasi-30x60-m06","","%","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1096/084691ec1e9803abcb5d4bf1a0766a44075539465c4a85478d4f9d13134efd1a10576c63f9d07668de8c61be000c13dd","Probotsan Cnc Makine A.ş","https://www.cnc-marketi.com/probotsan-cnc-makine-a","Pabuç Bağlantı Parçası 30X60 M06","TL","30,07","30,07","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/urunpabuc-baglanti-parcasi-30x60-m06-10219-10-O.png",""
"https://www.cnc-marketi.com/urun/pabuc-baglanti-parcasi-40x80-m10","","%","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1099/05db7c5c17462b9f647e9c51ecca7d7116db8acbd35522af09c293aa643a64b3b0ec5f06cbe887ce8dcc8a583f284e14","Probotsan Cnc Makine A.ş","https://www.cnc-marketi.com/probotsan-cnc-makine-a","Pabuç Bağlantı Parçası 40X80 M10","TL","38,88","38,88","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/urunpabuc-baglanti-parcasi-40x80-m10-10222-10-O.png",""
"https://www.cnc-marketi.com/urun/pabuc-baglanti-parcasi-40x80-m12","","%","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1100/7424f8faf6a52785f2bd7f6b2d39953c787eb65771690a485c772b0092856abba28b4def7c130c76be01d02381a535a2","Probotsan Cnc Makine A.ş","https://www.cnc-marketi.com/probotsan-cnc-makine-a","Pabuç Bağlantı Parçası 40X80 M12","TL","38,88","38,88","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/urunpabuc-baglanti-parcasi-40x80-m12-10223-11-O.png",""
"https://www.cnc-marketi.com/urun/pabuc-baglanti-parcasi-45x90-m10","","%","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1101/5b5ce7cf64d34b00bfb7d06b10a91c3451111a8bfa47f24896e8bb1bda03b9a7d5f844ffb4f2ac42042a77edb2e99797","Probotsan Cnc Makine A.ş","https://www.cnc-marketi.com/probotsan-cnc-makine-a","Pabuç Bağlantı Parçası 45X90 M10","TL","47,17","47,17","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/urunpabuc-baglanti-parcasi-45x90-m10-10224-11-O.png",""
"https://www.cnc-marketi.com/urun/pabuc-baglanti-parcasi-45x90-m12","","%","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1102/3c7f4970ba14d77cea8c5537fdde6418b64812bcc7e0a773028c12eb09b1c4812cdae53942494b53ebd0bf9a265ae661","Probotsan Cnc Makine A.ş","https://www.cnc-marketi.com/probotsan-cnc-makine-a","Pabuç Bağlantı Parçası 45X90 M12","TL","47,17","47,17","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/urunpabuc-baglanti-parcasi-45x90-m12-10225-11-O.png",""
"https://www.cnc-marketi.com/urun/pabuc-baglanti-parcasi-45x90-m16","","%","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1103/395f307f1ea55d16f851fdae1fcc288a2b844cd6e91205acdf2162920c1fad16547197dcb4555b1805fd54a2bf55e06b","Probotsan Cnc Makine A.ş","https://www.cnc-marketi.com/probotsan-cnc-makine-a","Pabuç Bağlantı Parçası 45X90 M16","TL","47,17","47,17","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/urunpabuc-baglanti-parcasi-45x90-m16-10226-11-O.png",""
"https://www.cnc-marketi.com/urun/pabuc-baglanti-parcasi-60x60-m10","","%","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1104/1290d06f83ec1787598fd2a29b923d3303e19f3aa0e7070415d133a091dc94d890380ec4830c3a013bb452440e8c1959","Probotsan Cnc Makine A.ş","https://www.cnc-marketi.com/probotsan-cnc-makine-a","Pabuç Bağlantı Parçası 60X60 M10","TL","46,14","46,14","javascript:void(0);","Sepete Ekle","https://cncmarketi.tsoftstatic.com/urunpabuc-baglanti-parcasi-60x60-m10-10227-11-O.png",""
"https://www.cnc-marketi.com/urun/pabuc-baglanti-parcasi-60x60-m12","","%","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1105/bb510c9dc34fb90136127aea23ea2e6957be4aef998cd0d375266a3dfd03982d1b73c8a7a4feb9df4cfd8211ae70adaa","Probotsan Cnc Makine A.ş","https://www.cnc-marketi.com/probotsan-cnc-makine-a","Pabuç Bağlantı Parçası 60X60 M12","TL","46,14","46,14","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/pabuc-baglanti-parcasi-80x80-m10","","%","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1106/07b768733f890879ecb01b2fd75e60ef0bf9ab3ad916299c9ac8a3c591ac550c961fe1f6135dd0a3fc664893f8abf5e9","Probotsan Cnc Makine A.ş","https://www.cnc-marketi.com/probotsan-cnc-makine-a","Pabuç Bağlantı Parçası 80X80 M10","TL","57,02","57,02","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/pabuc-baglanti-parcasi-80x80-m12","","%","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1107/10cb00380435d46c31b0d3f56217ad5d05f7c9b60b65ad581555faed445629e60eec11f944c0984db10c06c730d73808","Probotsan Cnc Makine A.ş","https://www.cnc-marketi.com/probotsan-cnc-makine-a","Pabuç Bağlantı Parçası 80X80 M12","TL","57,02","57,02","javascript:void(0);","Sepete Ekle","",""
